,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,AvgScore
209,female,group B,some college,free/reduced,NotStated,single,sometimes,no,2,Others,NotStated,58,61,66,61.66666667
210,male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3,school_bus,< 5,77,77,77,77
211,male,group C,some college,free/reduced,NotStated,married,sometimes,yes,3,school_bus,< 10,35,28,27,30
212,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,school_bus,< 10,42,62,60,54.66666667
213,male,group C,associate's degree,free/reduced,completed,single,regularly,no,1,school_bus,< 10,61,51,57,56.33333333
214,male,group E,high school,standard,NotStated,married,sometimes,yes,1,private,< 10,87,91,81,86.33333333
215,male,group B,some high school,standard,completed,NotStated,regularly,no,2,private,< 10,86,84,76,82
216,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,< 5,80,84,86,83.33333333
217,female,group C,high school,free/reduced,NotStated,married,regularly,no,3,Others,< 5,33,41,39,37.66666667
218,male,group B,high school,free/reduced,none,married,sometimes,no,2,school_bus,< 5,64,75,68,69
219,male,group B,some high school,standard,completed,single,never,no,1,Others,< 10,59,55,54,56
220,female,group D,high school,standard,completed,widowed,regularly,yes,4,school_bus,< 10,57,69,75,67
221,male,group B,associate's degree,standard,none,married,sometimes,yes,0,school_bus,> 10,89,86,74,83
222,female,group C,some high school,free/reduced,NotStated,divorced,sometimes,no,3,Others,< 10,55,65,62,60.66666667
223,male,group D,some high school,standard,none,married,regularly,no,3,school_bus,< 10,88,81,76,81.66666667
224,female,group B,associate's degree,standard,completed,divorced,regularly,NotStated,3,school_bus,> 10,55,67,76,66
225,female,group E,master's degree,free/reduced,none,married,sometimes,no,NotStated,private,< 5,43,55,52,50
226,female,group C,some college,standard,none,married,sometimes,yes,5,school_bus,< 10,72,72,71,71.66666667
227,male,group D,high school,standard,none,single,regularly,yes,0,school_bus,< 10,58,50,55,54.33333333
228,male,group A,Others,free/reduced,none,divorced,sometimes,no,4,school_bus,< 10,68,72,64,68
229,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,> 10,93,97,98,96
230,male,group D,some college,standard,none,married,regularly,yes,0,Others,< 10,78,64,67,69.66666667
231,male,group C,associate's degree,standard,none,married,regularly,NotStated,1,private,< 10,47,43,43,44.33333333
232,female,group B,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,< 10,67,86,83,78.66666667
233,male,group E,some high school,standard,none,divorced,sometimes,yes,3,school_bus,> 10,94,88,79,87
234,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,85,83,85,84.33333333
235,male,group D,associate's degree,standard,none,married,regularly,no,1,school_bus,> 10,84,77,80,80.33333333
236,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2,school_bus,< 5,62,65,67,64.66666667
237,female,group D,some high school,standard,NotStated,married,sometimes,yes,4,school_bus,< 5,62,59,72,64.33333333
238,male,group B,some college,standard,none,married,regularly,yes,2,private,> 10,57,53,53,54.33333333
239,male,group C,associate's degree,standard,none,NotStated,sometimes,yes,1,private,< 10,84,80,80,81.33333333
240,male,group D,high school,free/reduced,completed,divorced,NotStated,yes,1,private,> 10,75,69,67,70.33333333
241,female,group E,bachelor's degree,standard,none,single,regularly,no,4,private,< 10,82,84,85,83.66666667
243,male,group E,some college,standard,NotStated,single,regularly,no,2,school_bus,< 5,58,50,43,50.33333333
244,male,group D,some high school,standard,none,divorced,regularly,yes,1,school_bus,< 5,74,73,69,72
245,male,group C,associate's degree,standard,none,married,sometimes,no,3,private,< 5,82,74,69,75
246,male,group E,associate's degree,standard,NotStated,married,regularly,no,2,school_bus,< 10,91,77,75,81
247,female,group B,high school,standard,completed,single,sometimes,yes,1,private,< 10,58,70,68,65.33333333
248,female,group B,high school,standard,none,married,sometimes,yes,2,private,< 5,63,63,60,62
249,male,NotStated,high school,standard,none,married,sometimes,no,2,school_bus,> 10,70,60,54,61.33333333
250,male,group A,some high school,standard,completed,single,sometimes,yes,2,school_bus,< 10,47,49,49,48.33333333
251,female,group D,some college,free/reduced,none,married,regularly,NotStated,4,school_bus,< 5,70,82,83,78.33333333
252,female,group B,some high school,standard,completed,single,sometimes,yes,3,private,< 10,60,70,70,66.66666667
253,male,group D,master's degree,standard,none,married,sometimes,no,3,school_bus,NotStated,80,80,72,77.33333333
254,male,group D,high school,standard,none,married,sometimes,yes,0,private,< 10,54,52,52,52.66666667
255,female,group E,some college,standard,none,single,sometimes,no,1,school_bus,< 10,62,73,70,68.33333333
256,female,group C,associate's degree,free/reduced,none,single,sometimes,no,5,private,< 5,62,71,66,66.33333333
257,male,NotStated,associate's degree,standard,completed,married,regularly,NotStated,1,school_bus,< 10,80,78,78,78.66666667
260,female,group C,some high school,free/reduced,completed,married,sometimes,yes,1,private,> 10,65,80,78,74.33333333
261,male,group C,some college,standard,completed,married,sometimes,no,2,school_bus,< 10,79,79,78,78.66666667
262,female,group C,some high school,free/reduced,none,married,regularly,no,2,private,< 10,45,50,52,49
263,female,group E,high school,standard,none,single,sometimes,yes,1,private,< 10,99,93,90,94
264,male,group D,high school,standard,none,married,sometimes,no,2,private,< 10,76,73,68,72.33333333
265,male,group D,some high school,free/reduced,none,divorced,sometimes,no,1,school_bus,< 5,57,41,40,46
266,female,NotStated,bachelor's degree,standard,none,married,sometimes,no,2,school_bus,< 5,61,73,79,71
267,female,group D,high school,standard,none,married,regularly,no,3,school_bus,< 10,71,73,78,74
268,female,group D,associate's degree,standard,completed,married,regularly,yes,5,school_bus,> 10,93,94,99,95.33333333
269,female,group E,some college,free/reduced,none,married,sometimes,no,2,school_bus,NotStated,71,76,70,72.33333333
270,male,group C,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,< 10,69,63,61,64.33333333
271,male,group C,some college,standard,NotStated,single,regularly,yes,1,Others,< 5,57,48,42,49
272,female,group D,associate's degree,free/reduced,none,single,regularly,yes,2,private,< 10,48,53,59,53.33333333
273,female,group D,some college,standard,none,married,sometimes,no,2,private,< 10,65,70,71,68.66666667
274,male,group B,some college,standard,completed,widowed,NotStated,yes,1,school_bus,< 5,85,83,74,80.66666667
275,male,group C,bachelor's degree,standard,none,married,sometimes,no,3,school_bus,< 10,83,78,73,78
276,female,group C,some high school,standard,completed,married,sometimes,yes,3,private,< 5,82,90,91,87.66666667
277,female,group E,Others,standard,completed,single,sometimes,no,4,school_bus,< 5,57,62,73,64
278,female,group C,some high school,free/reduced,none,married,sometimes,yes,1,school_bus,< 10,65,86,80,77
279,male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2,school_bus,< 10,73,56,57,62
281,male,group D,high school,standard,none,divorced,sometimes,no,NotStated,private,< 10,45,48,46,46.33333333
282,female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3,school_bus,< 10,75,80,86,80.33333333
283,female,group D,some college,free/reduced,completed,NotStated,never,yes,2,school_bus,< 10,67,76,76,73
284,female,NotStated,some high school,standard,none,married,regularly,yes,0,private,< 5,36,45,46,42.33333333
285,male,group B,associate's degree,standard,completed,married,never,yes,3,school_bus,< 10,78,80,79,79
286,male,group E,associate's degree,standard,completed,married,regularly,yes,0,private,< 10,99,83,90,90.66666667
287,female,group B,some high school,standard,none,married,sometimes,no,1,school_bus,< 5,64,87,80,77
288,male,group B,bachelor's degree,free/reduced,none,single,sometimes,yes,0,Others,< 5,85,73,74,77.33333333
289,male,NotStated,some high school,standard,completed,married,sometimes,yes,1,school_bus,> 10,79,77,78,78
290,male,group C,associate's degree,standard,none,married,sometimes,no,2,school_bus,< 10,76,70,68,71.33333333
291,male,group D,some high school,standard,none,married,sometimes,yes,2,private,< 5,83,71,68,74
292,male,group C,some high school,standard,completed,married,never,yes,1,private,< 10,61,59,55,58.33333333
293,female,group E,bachelor's degree,standard,none,married,sometimes,yes,NotStated,school_bus,> 10,66,74,76,72
294,male,group D,high school,free/reduced,completed,single,regularly,yes,3,school_bus,< 10,80,78,82,80
295,male,group B,associate's degree,free/reduced,none,married,never,yes,1,school_bus,> 10,66,61,59,62
296,male,NotStated,some high school,standard,completed,widowed,regularly,no,2,school_bus,< 10,47,41,44,44
297,male,NotStated,associate's degree,standard,completed,single,regularly,no,1,school_bus,< 10,73,75,69,72.33333333
298,male,group C,Others,free/reduced,completed,single,regularly,no,2,private,< 5,39,45,50,44.66666667
299,male,group D,associate's degree,free/reduced,none,married,regularly,no,2,Others,< 5,89,86,75,83.33333333
300,male,group A,some college,free/reduced,completed,married,never,yes,2,private,< 5,76,75,77,76
301,male,group D,some high school,free/reduced,NotStated,divorced,regularly,no,4,school_bus,< 5,55,53,52,53.33333333
302,female,group C,associate's degree,standard,completed,single,never,yes,5,school_bus,> 10,66,83,80,76.33333333
303,male,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,< 10,82,77,65,74.66666667
304,female,group C,associate's degree,standard,completed,married,regularly,yes,2,school_bus,< 10,76,76,85,79
